NPS,OD,SCH,THK,"WT/FT [LB/FT]","WT/FT [KG/M]",I,Z,R
1  1/4 ,1.660,-,0.191,2.9998,4.464,0.2418,0.2913,0.5237
1  1/4 ,1.660,-,0.250,3.7687,5.608,0.2839,0.3420,0.5063
1  1/4 ,1.660,-,0.382,5.2195,7.767,0.3411,0.4110,0.4716
-,-,-,-,-,-,-,-,-
1  1/2 ,1.900,10S,0.109,2.0872,3.106,0.2468,0.2598,0.6344
1  1/2 ,1.900,STD,0.145,2.7207,4.049,0.3099,0.3262,0.6226
1  1/2 ,1.900,XS,0.200,3.6351,5.410,0.3912,0.4118,0.6052
1  1/2 ,1.900,160,0.281,4.8640,7.238,0.4824,0.5078,0.5810
1  1/2 ,1.900,XXS,0.400,6.4149,9.546,0.5678,0.5977,0.5489
-,-,-,-,-,-,-,-,-
2,2.375,10S,0.109,2.6407,3.930,0.4992,0.4204,0.8021
2,2.375,STD,0.154,3.6568,5.442,0.6657,0.5606,0.7871
2,2.375,XS,0.218,5.0274,7.482,0.8679,0.7309,0.7665
2,2.375,-,0.250,5.6798,8.453,0.9551,0.8043,0.7565
2,2.375,160,0.344,7.4697,11.116,1.1642,0.9804,0.7283
2,2.375,XXS,0.436,9.0386,13.451,1.3113,1.1043,0.7027
-,-,-,-,-,-,-,-,-
2  1/2 ,2.875,10S,0.120,3.5346,5.260,0.9873,0.6868,0.9750
2  1/2 ,2.875,STD,0.203,5.7992,8.630,1.5296,1.0640,0.9474
2  1/2 ,2.875,XS,0.276,7.6692,11.413,1.9242,1.3386,0.9241
2  1/2 ,2.875,160,0.375,10.0232,14.916,2.3527,1.6367,0.8938
2  1/2 ,2.875,XXS,0.552,13.7096,20.402,2.871,1.997,0.844
-,-,-,-,-,-,-,-,-
3,3.5,10S,0.120,4.3364,6.453,1.822,1.041,1.196
3,3.5,API,0.125,4.5105,6.712,1.890,1.080,1.194
3,3.5,API,0.156,5.5773,8.300,2.296,1.312,1.184
3,3.5,API,0.188,6.6571,9.907,2.691,1.538,1.173
3,3.5,STD,0.216,7.5839,11.286,3.017,1.724,1.164
3,3.5,API,0.250,8.6868,12.927,3.390,1.937,1.152
3,3.5,API,0.281,9.6708,14.392,3.709,2.119,1.142
3,3.5,XS,0.300,10.2638,15.274,3.894,2.225,1.136
3,3.5,160,0.438,14.3389,21.339,5.039,2.879,1.094
3,3.5,XXS,0.600,18.6031,27.684,5.993,3.424,1.047
-,-,-,-,-,-,-,-,-
3  1/2 ,4,10S,0.120,4.9779,7.408,2.755,1.378,1.372
3  1/2 ,4,API,0.125,5.1787,7.707,2.859,1.430,1.371
3  1/2 ,4,API,0.156,6.4113,9.541,3.485,1.743,1.360
3  1/2 ,4,API,0.188,7.6621,11.402,4.100,2.050,1.349
3  1/2 ,4,STD,0.226,9.1190,13.571,4.788,2.394,1.337
3  1/2 ,4,API,0.250,10.0232,14.916,5.200,2.600,1.329
3  1/2 ,4,API,0.281,11.1730,16.627,5.708,2.854,1.319
3  1/2 ,4,XS,0.318,12.5183,18.629,6.280,3.140,1.307
3  1/2 ,4,XXS,0.636,22.8744,34.041,9.848,4.924,1.210
-,-,-,-,-,-,-,-,-
4,4.5,10S,0.120,5.6194,8.363,3.963,1.761,1.549
4,4.5,API,0.125,5.8469,8.701,4.114,1.828,1.547
4,4.5,API,0.156,7.2452,10.782,5.028,2.235,1.537
